,date,confirmed_cases,total_tested
0,2020-04-06,62,0
1,2020-04-07,67,0
2,2020-04-08,80,0
3,2020-04-09,84,0
4,2020-04-10,90,547
5,2020-04-11,99,1800
6,2020-04-12,117,1713
7,2020-04-13,126,1838
8,2020-04-14,132,0
9,2020-04-15,143,0
10,2020-04-16,146,0
11,2020-04-17,160,2401
12,2020-04-18,162,2470
13,2020-04-19,171,907
14,2020-04-20,174,929
15,2020-04-21,187,980
16,2020-04-22,198,1050
17,2020-04-23,210,1100
18,2020-04-24,232,1179
19,2020-04-25,256,1235
20,2020-04-26,267,1293
21,2020-04-27,276,1333
22,2020-04-28,288,1392
23,2020-04-29,313,1449
24,2020-04-30,318,1511
25,2020-05-01,343,1532
26,2020-05-02,365,1584
27,2020-05-03,386,1644
28,2020-05-04,396,1722
29,2020-05-05,411,1773
30,2020-05-06,424,1830
31,2020-05-07,441,1904
32,2020-05-08,458,1969
33,2020-05-09,472,2044
34,2020-05-10,481,2096
35,2020-05-11,488,2139
36,2020-05-12,502,2230
37,2020-05-13,512,2280
38,2020-05-14,544,2376
39,2020-05-15,556,2461
40,2020-05-16,565,2523
41,2020-05-17,578,2610
42,2020-05-18,597,2672
43,2020-05-19,609,2732
44,2020-05-20,625,2892
45,2020-05-21,637,2980
46,2020-05-22,649,3074
47,2020-05-23,672,3314
48,2020-05-24,691,3426
49,2020-05-25,698,3535
50,2020-05-26,705,3635
51,2020-05-27,714,3703
52,2020-05-28,721,3804
53,2020-05-29,735,3885
54,2020-05-30,744,3987
55,2020-05-31,749,4101
56,2020-06-01,759,4201
57,2020-06-02,767,4277
58,2020-06-03,772,4341
59,2020-06-04,774,4422
60,2020-06-05,782,4483
61,2020-06-06,785,4568
62,2020-06-07,791,4658
63,2020-06-08,790,4710
64,2020-06-09,796,4791
65,2020-06-10,797,4860
66,2020-06-11,796,4938
67,2020-06-12,799,5021
68,2020-06-13,805,5086
69,2020-06-14,809,5169
70,2020-06-15,813,5273
71,2020-06-16,816,5346
72,2020-06-17,818,5438
73,2020-06-18,820,5508
74,2020-06-19,829,5602
75,2020-06-20,835,5695
76,2020-06-21,840,5793
77,2020-06-22,842,5884
78,2020-06-23,844,5952
79,2020-06-24,847,6045
80,2020-06-25,852,6158
81,2020-06-26,855,6284
82,2020-06-27,862,6415
83,2020-06-28,862,6514
84,2020-06-29,863,6614
85,2020-06-30,865,6692
86,2020-07-01,867,6803
87,2020-07-02,872,6900
88,2020-07-03,874,7059
89,2020-07-04,876,7184
90,2020-07-05,876,7292
91,2020-07-06,878,7361
92,2020-07-07,879,7429
93,2020-07-08,879,7483
94,2020-07-09,880,7593
95,2020-07-10,880,7726
96,2020-07-11,881,7860
97,2020-07-12,883,7993
98,2020-07-13,888,8104
99,2020-07-14,890,8171
100,2020-07-15,893,8308
101,2020-07-16,898,8444
102,2020-07-17,896,8613
103,2020-07-18,899,8714
104,2020-07-19,900,8939
105,2020-07-20,906,9041
106,2020-07-21,906,9131
107,2020-07-22,909,9248
108,2020-07-23,913,9373
109,2020-07-24,917,9527
110,2020-07-25,921,9655
111,2020-07-26,925,9809
112,2020-07-27,927,9888
113,2020-07-28,929,10004
114,2020-07-29,935,10084
115,2020-07-30,942,10196
116,2020-07-31,951,10410
117,2020-08-01,959,10573
118,2020-08-02,962,10721
119,2020-08-03,964,10796
120,2020-08-04,964,10930
121,2020-08-05,969,11065
122,2020-08-06,973,11193
123,2020-08-07,984,11384
124,2020-08-08,989,11573
125,2020-08-09,997,11732
126,2020-08-10,997,11831
127,2020-08-11,999,11956
128,2020-08-12,1001,12081
129,2020-08-13,1010,12231
130,2020-08-14,1019,12398
131,2020-08-15,1028,12604
132,2020-08-16,1034,12725
133,2020-08-17,1037,12892
134,2020-08-18,1051,13049
135,2020-08-19,1062,13183
136,2020-08-20,1072,13357
137,2020-08-21,1081,13547
138,2020-08-22,1088,13748
139,2020-08-23,1091,13893
140,2020-08-24,1098,14034
141,2020-08-25,1104,14150
142,2020-08-26,1117,14302
143,2020-08-27,1136,14455
144,2020-08-28,1144,14586
145,2020-08-29,1145,14684
146,2020-08-30,1151,14845
147,2020-08-31,1152,14942
148,2020-09-01,1158,15041
149,2020-09-02,1169,15160
150,2020-09-03,1166,15251
151,2020-09-04,1175,15563
152,2020-09-05,1200,15790
153,2020-09-06,1203,15918
154,2020-09-07,1209,16010
155,2020-09-08,1218,16156
156,2020-09-09,1221,16279
157,2020-09-10,1228,16370
158,2020-09-11,1236,16523
159,2020-09-12,1238,16634
160,2020-09-13,1241,16752
161,2020-09-14,1244,16874
162,2020-09-15,1249,16959
163,2020-09-16,1265,17124
164,2020-09-17,1268,17261
165,2020-09-18,1275,17376
166,2020-09-19,1281,17597
167,2020-09-20,1283,17739
168,2020-09-21,1285,17818
169,2020-09-22,1293,17905
170,2020-09-23,1298,18029
171,2020-09-24,1299,18138
172,2020-09-25,1306,18305
173,2020-09-26,1314,18485
174,2020-09-27,1318,18591
175,2020-09-28,1324,18763
176,2020-09-29,1328,18855
177,2020-09-30,1335,18971
178,2020-10-01,1343,19150
179,2020-10-02,1346,19307
180,2020-10-03,1354,19538
181,2020-10-04,1359,19677
182,2020-10-05,1376,19832
183,2020-10-06,1384,19975
184,2020-10-07,1394,20064
185,2020-10-08,1415,20293
186,2020-10-09,1429,20491
187,2020-10-10,1443,20679
188,2020-10-11,1456,20859
189,2020-10-12,1465,21041
190,2020-10-13,1480,21239
191,2020-10-14,1491,21416
192,2020-10-15,1510,21560
193,2020-10-16,1528,21819
194,2020-10-17,1551,22113
195,2020-10-18,1568,22337
196,2020-10-19,1582,22502
197,2020-10-20,1602,22685
198,2020-10-21,1632,22937
199,2020-10-22,1662,23192
200,2020-10-23,1678,23410
201,2020-10-24,1700,23644
202,2020-10-25,1727,23858
203,2020-10-26,1736,24016
204,2020-10-27,1750,24199
205,2020-10-28,1775,24420
206,2020-10-29,1812,24642
207,2020-10-30,1834,24959
208,2020-10-31,1869,25302
209,2020-11-01,1886,25531
210,2020-11-02,1913,25711
211,2020-11-03,1931,25992
212,2020-11-04,1970,26213
213,2020-11-05,2014,26448
214,2020-11-06,2056,26725
215,2020-11-07,2104,26976
216,2020-11-08,2148,27319
217,2020-11-09,2182,27529
218,2020-11-10,2230,27792
219,2020-11-11,2269,28073
220,2020-11-12,2326,28341
221,2020-11-13,2387,28639
222,2020-11-14,2432,28953
223,2020-11-15,2486,29323
224,2020-11-16,2524,29557
225,2020-11-17,2576,29776
226,2020-11-18,2592,30098
227,2020-11-19,2660,30479
228,2020-11-20,2706,30814
229,2020-11-21,2743,31196
230,2020-11-22,2770,31465
231,2020-11-23,2798,31724
232,2020-11-24,2817,31932
233,2020-11-25,2884,32375
234,2020-11-26,2925,32686
235,2020-11-27,2937,32959
236,2020-11-28,2957,33128
237,2020-11-29,2980,33308
238,2020-11-30,3008,33535
239,2020-12-01,3056,33820
240,2020-12-02,3094,34091
241,2020-12-03,3143,34477
242,2020-12-04,3178,34796
243,2020-12-05,3210,35120
244,2020-12-06,3243,35361
245,2020-12-07,3278,35614
246,2020-12-08,3295,35858
247,2020-12-09,3323,36100
248,2020-12-10,3370,36365
249,2020-12-11,3404,36645
250,2020-12-12,3451,36980
251,2020-12-13,3478,37159
252,2020-12-14,3509,37455
253,2020-12-15,3538,37717
254,2020-12-16,3582,38017
255,2020-12-17,3624,38273
256,2020-12-18,3667,38601
257,2020-12-19,3701,38876
258,2020-12-20,3727,39169
259,2020-12-21,3749,39406
260,2020-12-22,3780,39692
261,2020-12-23,3833,39938
262,2020-12-24,3852,40280
263,2020-12-25,3886,40567
264,2020-12-26,3897,40751
265,2020-12-27,3910,40892
266,2020-12-28,3931,41047
267,2020-12-29,3947,41241
268,2020-12-30,3974,41438
269,2020-12-31,4001,41632
270,2021-01-01,4025,41910
271,2021-01-02,4044,42098
272,2021-01-03,4061,42201
273,2021-01-04,4081,42365
274,2021-01-05,4111,42607
275,2021-01-06,4145,42835
276,2021-01-07,4171,43107
277,2021-01-08,4202,43391
278,2021-01-09,4227,43654
279,2021-01-10,4237,43821
280,2021-01-11,4255,43993
281,2021-01-12,4283,44309
282,2021-01-13,4314,44559
283,2021-01-14,4342,44907
